City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,summerside,46.3959,-63.7876,14.5,77,13,1.54,CA,1692750014
1,kundiawa,-6.0167,144.9667,21.56,75,78,1.73,PG,1692749736
2,al bawiti,28.3492,28.8659,27.18,35,0,2.39,EG,1692750015
3,bikenibeu village,1.3673,173.1241,28.7,73,75,3.34,KI,1692750015
4,blackmans bay,-43.0167,147.3167,13.07,69,62,4.03,AU,1692750015
5,madaoua,14.073,5.96,32.21,44,16,3.33,NE,1692750015
6,sola,-13.8833,167.55,25.39,83,100,10.94,VU,1692749737
7,tsiombe,-25.3,45.4833,20.75,66,0,2.71,MG,1692750015
8,buka,40.8108,69.1986,23.04,31,0,1.04,UZ,1692750016
9,port-aux-francais,-49.35,70.2167,1.4,70,97,6.11,TF,1692750016
10,santa cruz,-17.8,-63.1667,27.7,69,56,7.2,BO,1692750016
11,morden,49.1919,-98.1014,20.24,83,97,2.06,CA,1692749997
12,sur,22.5667,59.5289,29.28,65,67,2.67,OM,1692749738
13,santana do livramento,-30.8908,-55.5328,17.15,94,15,5.2,BR,1692750017
14,edinburgh of the seven seas,-37.0676,-12.3116,13.41,96,100,12.4,SH,1692750017
15,adamstown,-25.066,-130.1015,18.84,67,100,12.24,PN,1692750017
16,yellowknife,62.456,-114.3525,20.29,58,75,4.12,CA,1692749896
17,ma'rib,15.4591,45.3253,28.18,24,74,3.14,YE,1692750017
18,papatowai,-46.5619,169.4708,12.09,69,98,1.4,NZ,1692750017
19,hawaiian paradise park,19.5933,-154.9731,28.35,75,40,4.63,US,1692750018
20,nako,31.8814,78.627,14.19,86,100,1.8,IN,1692750018
21,punta arenas,-53.15,-70.9167,0.62,68,71,6.48,CL,1692749927
22,santa eulalia,-11.85,-76.6833,4.44,70,21,0.47,PE,1692749739
23,northam,51.0333,-4.2167,15.17,96,62,1.72,GB,1692749433
24,hadibu,12.65,54.0333,26.54,81,34,7.11,YE,1692750019
25,puerto natales,-51.7236,-72.4875,0.17,85,87,2.77,CL,1692750019
26,keflavik,64.0049,-22.5624,11.24,87,0,6.17,IS,1692749533
27,moree,-29.4667,149.85,19.4,37,2,4.27,AU,1692750019
28,saint-philippe,-21.3585,55.7679,22.77,85,43,5.94,RE,1692749740
29,invercargill,-46.4,168.35,11.12,80,100,1.34,NZ,1692750019
30,pathein,16.7833,94.7333,24.81,94,100,1.52,MM,1692749740
31,waitangi,-43.9535,-176.5597,11.01,80,79,4.02,NZ,1692750020
32,constantia,44.1833,28.65,25.39,64,0,2.74,RO,1692750020
33,bethel,41.3712,-73.414,22.05,72,20,1.54,US,1692749994
